rider_id,name,team,nationality,birth_year,uci_ranking,young_rider_eligible,team_leader
116,Soren Waerenskjold,Uno-X Mobility,NOR,1998,145,false,false
117,Anthon Charmig,Uno-X Mobility,DEN,1999,195,false,false
118,Jonas Abrahamsen,Uno-X Mobility,NOR,1995,235,false,false
119,Torstein Traen,Uno-X Mobility,NOR,1998,300,false,false
120,Anders Halland Johannessen,Uno-X Mobility,NOR,2003,92,true,false
121,Mike Teunissen,XDS Astana Team,NED,1992,82,false,false
122,Sergio Higuita,XDS Astana Team,COL,1997,37,false,true
123,Harold Tejada,XDS Astana Team,COL,1997,118,false,false
124,Max Kanter,XDS Astana Team,GER,1999,150,false,false
125,Nicolas Vinokurov,XDS Astana Team,KAZ,2003,160,true,false
126,Davide Ballerini,XDS Astana Team,ITA,1994,112,false,false
127,Aaron Gate,XDS Astana Team,NZL,1994,390,false,false
128,Simone Velasco,XDS Astana Team,ITA,1995,280,false,false
129,Piet Allegaert,Cofidis,BEL,1995,295,false,false
130,Jenthe Biermans,Cofidis,BEL,1995,198,false,false
131,Milan Fretin,Cofidis,FRA,1999,370,false,false
132,Alex Kirsch,Cofidis,LUX,1992,245,false,false
133,Hugo Page,Cofidis,FRA,2000,200,false,false
134,Alex Aranburu,Cofidis,ESP,1995,92,false,false
135,Benjamin Thomas,Cofidis,FRA,1995,108,false,false
136,Ion Izagirre,Cofidis,ESP,1989,78,false,true
137,Julian Alaphilippe,Tudor Pro Cycling Team,FRA,1992,19,false,true
138,Matteo Trentin,Tudor Pro Cycling Team,ITA,1989,102,false,false
139,Michael Storer,Tudor Pro Cycling Team,AUS,1997,82,false,false
140,Rick Pluimers,Tudor Pro Cycling Team,NED,2001,320,true,false
141,Arvid De Kleijn,Tudor Pro Cycling Team,NED,1998,175,false,false
142,Marco Haller,Tudor Pro Cycling Team,AUT,1991,240,false,false
143,Marc Hirschi,Tudor Pro Cycling Team,SUI,1998,42,false,false
144,Yannis Voisard,Tudor Pro Cycling Team,SUI,2000,355,false,false
145,Jordan Jegat,TotalEnergies,FRA,2002,430,true,false
146,Alexandre Delettre,TotalEnergies,FRA,1995,285,false,false
147,Anthony Turgis,TotalEnergies,FRA,1994,55,false,true
148,Matteo Vercher,TotalEnergies,ESP,1998,315,false,false
149,Mathis Le Berre,TotalEnergies,FRA,2001,365,true,false
150,Nicolas Breuillard,TotalEnergies,FRA,1999,385,false,false
151,Joris Delbove,TotalEnergies,FRA,2002,440,true,false
152,Thibault Guernalec,TotalEnergies,FRA,2001,405,true,false
153,Alex Molenaar,Caja Rural-Seguros RGA,NED,1997,248,false,false
154,Joel Nicolau,Caja Rural-Seguros RGA,ESP,1998,195,false,false
155,Abel Balderstone,Caja Rural-Seguros RGA,AUS,2002,410,true,false
156,Sebastian Berwick,Caja Rural-Seguros RGA,AUS,2001,425,true,false
157,Fernando Gaviria,Caja Rural-Seguros RGA,COL,1994,68,false,true
158,Stefano Oldani,Caja Rural-Seguros RGA,ITA,1998,185,false,false
159,Jakub Otruba,Caja Rural-Seguros RGA,CZE,1998,295,false,false
160,Jose Felix Parra,Caja Rural-Seguros RGA,COL,1999,360,false,false
161,Filippo Ganna,Netcompany INEOS,ITA,1996,11,false,true
162,Carlos Rodriguez,Netcompany INEOS,ESP,2001,7,true,true
163,Michal Kwiatkowski,Netcompany INEOS,POL,1990,45,false,false
164,Kevin Vauquelin,Netcompany INEOS,FRA,2001,48,true,false
165,Dorian Godon,Netcompany INEOS,FRA,1996,96,false,false
166,Thymen Arensman,Netcompany INEOS,NED,2000,39,false,false
167,Cian Uijtdebroeks,Movistar Team,BEL,2003,17,true,true
168,Einer Rubio,Movistar Team,COL,1998,52,false,false
169,Pablo Castrillo,Movistar Team,ESP,1998,275,false,false
170,Roger Adria,Movistar Team,ESP,2001,310,true,false
171,Thomas Pidcock,Pinarello Q36.5,GBR,2000,9,false,true
172,Fred Wright,Pinarello Q36.5,GBR,1999,66,false,false
173,Quinten Hermans,Pinarello Q36.5,BEL,1995,130,false,false
